split,record_index,record_id,source,template_family,error_category,text,gold_entity,predicted_entity,gold_span,predicted_span,gold_text,predicted_text,prediction_confidence,gold_label_probability
test,3,34238,gretel_finance_pii,,boundary-too-short,"**Republic of Canada**

**Income Tax Assessment Notice**

Assessment Number: 2387465-A1

Tax Year: 2021

Name: Céline Lucie Grondin

Street Address: 9497 Colleen Pine, Birdstad, ON, P1E 7G5

Greetings,

We are pleased to provide you with the Income Tax Assessment for the tax year 2021. We have reviewed your income sources, deductions, and calculated the taxable income based on the current laws. Here is the detailed assessment:

**Income Sources:**

1. Employment Income: $58,500
2. Rental Income: $12,000

**Deductions:**

1. RRSP Contributions: $5,500
2. Charitable Donations: $2,000
3. Union Dues: $1,200

**Taxable Income:**

Taxable Income: $64,800

**Tax Amount:**

Federal Tax: $11,452
Provincial Tax: $4,866
Total Tax: $16,318

**Payment Due Date:**

The tax amount is due on or before 04/30/2022.

Please note that interest will be charged on any outstanding balance after the due date at a rate of 5% per annum.

Thank you for your cooperation. If you have any questions or concerns, please contact us at 1-800-123-4567.

Sincerely,

[Your Name]
[Your Title]
[Your Organization]

api\_key: xoxb-644966805921-993140658298-NePGgVfA2HCQrU5S6CScYNDJ
date\_time: 05/22/1972 12:58 PM",STREET_ADDRESS,STREET_ADDRESS,"[149,189)","[149,176)","9497 Colleen Pine, Birdstad, ON, P1E 7G5","9497 Colleen Pine, Birdstad",0.9417696330282423,
test,23,47331,gretel_finance_pii,,boundary-too-short,"Equipment Financing. Application

I, Arturo Telemaco Basso, hereby apply for equipment financing with your esteemed institution. I am confident that the information provided below will enable you to make an informed decision regarding my creditworthiness.

Personal Information:
---------------------

* Full Name: Arturo Telemaco Basso
* Date of Birth: March 12, 1980
* Social Security Number: **[REDACTED]**
* Contact Number: (123) 456-7890
* Email Address: [arturo.basso@email.com](mailto:arturo.basso@email.com)
* Residential Address: 39285 Gibson Centers, Anytown, USA

Employment Information:
---------------------

* Employer: XYZ Corporation
* Position: Senior Software Engineer
* Annual Income: $120,000
* Years with Current Employer: 5 years
* Supervisor's Name and Contact Information: John Doe, (123) 456-7891, [johndoe@xyzcorp.com](mailto:johndoe@xyzcorp.com)

Equipment Information:
---------------------

* Equipment Type: Server Racks and Accessories
* Equipment Vendor: ServerWorld Inc.
* Estimated Equipment Cost: $35,000
* Purpose of Equipment: To expand the company's data center capabilities and support increasing workload demands

Financial Information:
---------------------

* Bank Name and Account Number: ABC Bank, Account Number: 123456789
* Monthly Mortgage/Rent Payment: $2,500
* Other Debts: Car Loan ($400/month), Credit Card Debt ($150/month)

Authorization:
--------------

I, Arturo Telemaco Basso, hereby authorize you to verify the information provided above and to obtain a credit report to assist in the evaluation of this application. I understand that you will keep this information confidential and secure.

Thank you for considering my application. I look forward to your positive response.

Sincerely,
",EMAIL,EMAIL,"[460,484)","[461,483)",[arturo.basso@email.com],arturo.basso@email.com,0.9885421925120883,
test,36,36874,gretel_finance_pii,,wrong entity class,"MT700
 :20A:OURS
 :23B:CRED
 :20C:ABC123
 :50A:/CN01/CN02
 :57A:K2118233
 :59A:Dario A. Endrizzi, 9842 John Isle
 :71A:IRREVOCABLE, SIGHT
 :72A:USD500,000.00
 :77B:USTRN
 :86A:ABC Bank, New York
 :88A:NYC TEST BRANCH, NEW YORK, NY 10001, US
 :DTW:20230215
 :BBK:ABC
 :BBA:ABC123
 :BAG:927654
 :BEA:213456
 :MFS:INV
 :NAD:ABC Bank, New York, NY, US
 :NAD:Dario A. Endrizzi, 9842 John Isle, US
 :RFF:/CN01/CN02
 :RFB:K2118233
 :RFT:ABC123
 :RT1:IRREVOCABLE, SIGHT
 :RT2:USD500,000.00
 :RT3:USTRN
 :RT4:ABC Bank, New York
 :RT5:NYC TEST BRANCH, NEW YORK, NY 10001, US
 :RTR:20230215
 :RTT:ABC
 :RTE:ABC123
 :RMB:927654
 :RMI:213456
 :RFS:INV
 :END:",BUSINESS_ID,PASSPORT_NUMBER,"[64,72)","[65,72)",K2118233,2118233,0.4666167423129082,
test,36,36874,gretel_finance_pii,,wrong entity class,"MT700
 :20A:OURS
 :23B:CRED
 :20C:ABC123
 :50A:/CN01/CN02
 :57A:K2118233
 :59A:Dario A. Endrizzi, 9842 John Isle
 :71A:IRREVOCABLE, SIGHT
 :72A:USD500,000.00
 :77B:USTRN
 :86A:ABC Bank, New York
 :88A:NYC TEST BRANCH, NEW YORK, NY 10001, US
 :DTW:20230215
 :BBK:ABC
 :BBA:ABC123
 :BAG:927654
 :BEA:213456
 :MFS:INV
 :NAD:ABC Bank, New York, NY, US
 :NAD:Dario A. Endrizzi, 9842 John Isle, US
 :RFF:/CN01/CN02
 :RFB:K2118233
 :RFT:ABC123
 :RT1:IRREVOCABLE, SIGHT
 :RT2:USD500,000.00
 :RT3:USTRN
 :RT4:ABC Bank, New York
 :RT5:NYC TEST BRANCH, NEW YORK, NY 10001, US
 :RTR:20230215
 :RTT:ABC
 :RTE:ABC123
 :RMB:927654
 :RMI:213456
 :RFS:INV
 :END:",BUSINESS_ID,PASSPORT_NUMBER,"[415,423)","[418,422)",K2118233,1823,0.3963245451450348,
test,36,36874,gretel_finance_pii,,false positive,"MT700
 :20A:OURS
 :23B:CRED
 :20C:ABC123
 :50A:/CN01/CN02
 :57A:K2118233
 :59A:Dario A. Endrizzi, 9842 John Isle
 :71A:IRREVOCABLE, SIGHT
 :72A:USD500,000.00
 :77B:USTRN
 :86A:ABC Bank, New York
 :88A:NYC TEST BRANCH, NEW YORK, NY 10001, US
 :DTW:20230215
 :BBK:ABC
 :BBA:ABC123
 :BAG:927654
 :BEA:213456
 :MFS:INV
 :NAD:ABC Bank, New York, NY, US
 :NAD:Dario A. Endrizzi, 9842 John Isle, US
 :RFF:/CN01/CN02
 :RFB:K2118233
 :RFT:ABC123
 :RT1:IRREVOCABLE, SIGHT
 :RT2:USD500,000.00
 :RT3:USTRN
 :RT4:ABC Bank, New York
 :RT5:NYC TEST BRANCH, NEW YORK, NY 10001, US
 :RTR:20230215
 :RTT:ABC
 :RTE:ABC123
 :RMB:927654
 :RMI:213456
 :RFS:INV
 :END:",,BUSINESS_ID,,"[64,65)",,K,0.2680143415927887,
test,36,36874,gretel_finance_pii,,false positive,"MT700
 :20A:OURS
 :23B:CRED
 :20C:ABC123
 :50A:/CN01/CN02
 :57A:K2118233
 :59A:Dario A. Endrizzi, 9842 John Isle
 :71A:IRREVOCABLE, SIGHT
 :72A:USD500,000.00
 :77B:USTRN
 :86A:ABC Bank, New York
 :88A:NYC TEST BRANCH, NEW YORK, NY 10001, US
 :DTW:20230215
 :BBK:ABC
 :BBA:ABC123
 :BAG:927654
 :BEA:213456
 :MFS:INV
 :NAD:ABC Bank, New York, NY, US
 :NAD:Dario A. Endrizzi, 9842 John Isle, US
 :RFF:/CN01/CN02
 :RFB:K2118233
 :RFT:ABC123
 :RT1:IRREVOCABLE, SIGHT
 :RT2:USD500,000.00
 :RT3:USTRN
 :RT4:ABC Bank, New York
 :RT5:NYC TEST BRANCH, NEW YORK, NY 10001, US
 :RTR:20230215
 :RTT:ABC
 :RTE:ABC123
 :RMB:927654
 :RMI:213456
 :RFS:INV
 :END:",,BUSINESS_ID,,"[416,418)",,21,0.3144601583480835,
test,41,32374,gretel_finance_pii,,boundary-too-short,"Dear Mr. Rogersmith,

We hope this message finds you well. We are writing to inform you of an important update regarding your insurance coverage with Christopher Beck-Marshall.

Your current policy, with the swift_bic_code VASHUSGV947, is set to expire soon. However, we are excited to announce that your coverage will be transferred to a new policy, ensuring continued protection and peace of mind.

The new policy will take effect on the same renewal date as your current policy. Your coverage details and benefits will remain unchanged, and you can continue to enjoy the same level of service and support.

The premium amount for the new policy will be communicated to you separately. Please be assured that we have taken great care to ensure a smooth transition, and we are here to assist you with any questions or concerns you may have.

To facilitate the transfer, please ensure that all necessary documents and information are up-to-date. You can update your details by visiting our website or contacting our customer service team at your earliest convenience.

We appreciate your continued trust in Christopher Beck-Marshall and look forward to serving you under the new policy.

Sincerely,

[Your Name]
[Your Title]
Christopher Beck-Marshall
66027 Lori Creek
[City, State, Zip Code]
[Phone Number]
[Email Address]",PERSON_NAME,PERSON_NAME,"[5,19)","[9,19)",Mr. Rogersmith,Rogersmith,0.7943316102027893,
test,43,32454,gretel_finance_pii,,false negative,"NOVATION PROCESS

1.01 In this section, the following definitions apply:

""Novation"" means the substitution of a new Counterparty in place of a prior Counterparty to a Transaction, with the consent of all parties involved.

1.02 Novation shall be effected by:

(a) the prior Counterparty and the New Counterparty entering into a novation agreement in a form acceptable to the Administrator;

(b) the prior Counterparty providing notice of novation to the other party to the Transaction and the Administrator; and

(c) the New Counterparty providing to the other party to the Transaction and the Administrator any credit support or other information required under the Transaction or this Agreement.

1.03 Upon novation, all rights and obligations of the prior Counterparty under the Transaction and this Agreement shall be transferred to and become the rights and obligations of the New Counterparty.

1.04 The New Counterparty shall assume all obligations and liabilities of the prior Counterparty under the Transaction and this Agreement, including any obligation to pay, transfer or deliver any amount or other thing in connection with the Transaction.

1.05 The prior Counterparty shall be discharged from all obligations and liabilities under the Transaction and this Agreement, except that the prior Counterparty shall remain liable for any breach of the Transaction or this Agreement that occurred prior to the novation.

1.06 The prior Counterparty's liability for any such breach shall not be affected by the novation.

1.07 The New Counterparty's consent to the novation shall be deemed to include consent to the assignment to the New Counterparty of all rights of the prior Counterparty under the Transaction and this Agreement.

1.08 The prior Counterparty shall be referred to as the ""Transferor"" and the New Counterparty shall be referred to as the ""Transferee"".

1.09 The following information shall be provided to the Administrator in connection with the novation:

(a) the name and address of the Transferor: Smith-Rowland, 883 Susan Islands, 19967, Rosaleschester;

(b) the name and address of the Transferee;

(c",PERSON_NAME,,"[144,162)",,prior Counterparty,,,0.00029854376043658704
test,43,32454,gretel_finance_pii,,false negative,"NOVATION PROCESS

1.01 In this section, the following definitions apply:

""Novation"" means the substitution of a new Counterparty in place of a prior Counterparty to a Transaction, with the consent of all parties involved.

1.02 Novation shall be effected by:

(a) the prior Counterparty and the New Counterparty entering into a novation agreement in a form acceptable to the Administrator;

(b) the prior Counterparty providing notice of novation to the other party to the Transaction and the Administrator; and

(c) the New Counterparty providing to the other party to the Transaction and the Administrator any credit support or other information required under the Transaction or this Agreement.

1.03 Upon novation, all rights and obligations of the prior Counterparty under the Transaction and this Agreement shall be transferred to and become the rights and obligations of the New Counterparty.

1.04 The New Counterparty shall assume all obligations and liabilities of the prior Counterparty under the Transaction and this Agreement, including any obligation to pay, transfer or deliver any amount or other thing in connection with the Transaction.

1.05 The prior Counterparty shall be discharged from all obligations and liabilities under the Transaction and this Agreement, except that the prior Counterparty shall remain liable for any breach of the Transaction or this Agreement that occurred prior to the novation.

1.06 The prior Counterparty's liability for any such breach shall not be affected by the novation.

1.07 The New Counterparty's consent to the novation shall be deemed to include consent to the assignment to the New Counterparty of all rights of the prior Counterparty under the Transaction and this Agreement.

1.08 The prior Counterparty shall be referred to as the ""Transferor"" and the New Counterparty shall be referred to as the ""Transferee"".

1.09 The following information shall be provided to the Administrator in connection with the novation:

(a) the name and address of the Transferor: Smith-Rowland, 883 Susan Islands, 19967, Rosaleschester;

(b) the name and address of the Transferee;

(c",PERSON_NAME,,"[269,287)",,prior Counterparty,,,0.013708254438824952
test,43,32454,gretel_finance_pii,,false negative,"NOVATION PROCESS

1.01 In this section, the following definitions apply:

""Novation"" means the substitution of a new Counterparty in place of a prior Counterparty to a Transaction, with the consent of all parties involved.

1.02 Novation shall be effected by:

(a) the prior Counterparty and the New Counterparty entering into a novation agreement in a form acceptable to the Administrator;

(b) the prior Counterparty providing notice of novation to the other party to the Transaction and the Administrator; and

(c) the New Counterparty providing to the other party to the Transaction and the Administrator any credit support or other information required under the Transaction or this Agreement.

1.03 Upon novation, all rights and obligations of the prior Counterparty under the Transaction and this Agreement shall be transferred to and become the rights and obligations of the New Counterparty.

1.04 The New Counterparty shall assume all obligations and liabilities of the prior Counterparty under the Transaction and this Agreement, including any obligation to pay, transfer or deliver any amount or other thing in connection with the Transaction.

1.05 The prior Counterparty shall be discharged from all obligations and liabilities under the Transaction and this Agreement, except that the prior Counterparty shall remain liable for any breach of the Transaction or this Agreement that occurred prior to the novation.

1.06 The prior Counterparty's liability for any such breach shall not be affected by the novation.

1.07 The New Counterparty's consent to the novation shall be deemed to include consent to the assignment to the New Counterparty of all rights of the prior Counterparty under the Transaction and this Agreement.

1.08 The prior Counterparty shall be referred to as the ""Transferor"" and the New Counterparty shall be referred to as the ""Transferee"".

1.09 The following information shall be provided to the Administrator in connection with the novation:

(a) the name and address of the Transferor: Smith-Rowland, 883 Susan Islands, 19967, Rosaleschester;

(b) the name and address of the Transferee;

(c",PERSON_NAME,,"[296,312)",,New Counterparty,,,0.011533679207786918
